ticker,name,sector,date,price,annual_dividend,eps_growth_1y,beta,volatility_30d,debt_to_equity,return_1m,return_6m,return_12m,pe_ratio,fcf_yield,price_to_book,roe,profit_margin,net_income_growth_1y,forward_return_1m
AAPL,Apple Inc,Technology,2025-01-31,186.50,0.96,0.10,1.10,0.20,1.60,0.021,0.084,0.150,28.0,0.032,38.5,0.55,0.25,0.10,0.026
MSFT,Microsoft Corp,Technology,2025-01-31,398.30,2.95,0.14,0.91,0.16,0.40,0.019,0.077,0.161,33.1,0.029,12.4,0.36,0.35,0.13,0.022
JNJ,Johnson & Johnson,Healthcare,2025-01-31,151.70,4.90,0.06,0.59,0.12,0.49,0.006,0.032,0.083,16.2,0.048,5.4,0.23,0.20,0.05,0.012
XOM,Exxon Mobil,Energy,2025-01-31,117.40,3.75,0.09,1.03,0.23,0.22,0.016,0.065,0.132,13.3,0.082,2.0,0.21,0.10,0.08,0.020
NVDA,NVIDIA Corp,Technology,2025-01-31,858.20,0.16,0.38,1.69,0.40,0.25,0.056,0.241,0.650,58.3,0.023,39.8,0.65,0.46,0.35,0.044
PG,Procter & Gamble,Consumer Staples,2025-01-31,160.20,3.95,0.07,0.43,0.10,0.66,0.008,0.040,0.090,24.6,0.033,7.4,0.31,0.23,0.06,0.011
VZ,Verizon,Communication Services,2025-01-31,39.80,2.64,0.02,0.37,0.09,1.48,-0.004,0.006,-0.022,8.9,0.087,1.5,0.20,0.13,0.01,-0.003
GOOGL,Alphabet Inc,Communication Services,2025-01-31,154.60,0.00,0.18,1.01,0.19,0.10,0.024,0.093,0.196,23.4,0.040,6.2,0.28,0.26,0.16,0.028
KO,Coca-Cola,Consumer Staples,2025-01-31,60.10,1.92,0.05,0.49,0.10,1.32,0.004,0.027,0.061,22.4,0.036,9.5,0.42,0.22,0.04,0.009
JPM,JPMorgan Chase,Financials,2025-01-31,191.60,4.50,0.10,0.83,0.16,1.14,0.017,0.069,0.141,11.4,0.054,1.7,0.17,0.32,0.09,0.018
AAPL,Apple Inc,Technology,2025-02-28,191.35,0.96,0.10,1.09,0.21,1.60,0.024,0.090,0.164,28.8,0.031,38.9,0.56,0.25,0.10,0.018
MSFT,Microsoft Corp,Technology,2025-02-28,407.05,2.95,0.14,0.90,0.17,0.40,0.022,0.083,0.173,33.8,0.028,12.6,0.36,0.35,0.13,0.020
JNJ,Johnson & Johnson,Healthcare,2025-02-28,153.50,4.90,0.06,0.57,0.12,0.49,0.011,0.036,0.090,16.5,0.047,5.5,0.23,0.20,0.05,0.010
XOM,Exxon Mobil,Energy,2025-02-28,119.70,3.75,0.09,1.04,0.24,0.22,0.020,0.072,0.143,13.6,0.080,2.1,0.21,0.10,0.08,0.017
NVDA,NVIDIA Corp,Technology,2025-02-28,896.10,0.16,0.38,1.70,0.41,0.25,0.071,0.260,0.690,60.1,0.022,40.6,0.66,0.47,0.35,0.037
PG,Procter & Gamble,Consumer Staples,2025-02-28,162.00,3.95,0.07,0.42,0.10,0.66,0.011,0.046,0.101,24.9,0.032,7.5,0.31,0.23,0.06,0.008
VZ,Verizon,Communication Services,2025-02-28,39.40,2.64,0.02,0.38,0.09,1.48,-0.010,0.001,-0.031,8.8,0.088,1.5,0.20,0.13,0.01,-0.006
GOOGL,Alphabet Inc,Communication Services,2025-02-28,158.10,0.00,0.18,1.02,0.20,0.10,0.029,0.101,0.210,24.0,0.039,6.3,0.28,0.26,0.16,0.021
KO,Coca-Cola,Consumer Staples,2025-02-28,60.80,1.92,0.05,0.50,0.10,1.32,0.006,0.032,0.067,22.6,0.035,9.6,0.42,0.22,0.04,0.007
JPM,JPMorgan Chase,Financials,2025-02-28,194.20,4.50,0.10,0.82,0.15,1.14,0.021,0.075,0.153,11.6,0.053,1.8,0.17,0.32,0.09,0.016
AAPL,Apple Inc,Technology,2025-03-31,194.80,0.96,0.11,1.12,0.22,1.61,0.018,0.082,0.145,29.4,0.030,39.2,0.56,0.25,0.10,0.013
MSFT,Microsoft Corp,Technology,2025-03-31,414.10,2.95,0.15,0.91,0.18,0.41,0.017,0.076,0.163,34.2,0.028,12.8,0.37,0.36,0.14,0.016
JNJ,Johnson & Johnson,Healthcare,2025-03-31,154.40,4.92,0.06,0.58,0.12,0.50,0.006,0.028,0.081,16.7,0.046,5.6,0.24,0.20,0.05,0.008
