ticker,name,price,annual_dividend,eps_growth_1y,beta,volatility_30d,debt_to_equity,return_1m,return_6m,return_12m,pe_ratio,fcf_yield,price_to_book,roe,profit_margin,net_income_growth_1y
AAPL,Apple Inc,214.34,1.00,0.12,1.15,0.22,1.70,0.041,0.156,0.285,31.2,0.031,47.5,0.58,0.26,0.11
MSFT,Microsoft Corp,426.77,3.00,0.16,0.92,0.18,0.42,0.038,0.145,0.311,34.0,0.030,12.7,0.37,0.36,0.14
JNJ,Johnson & Johnson,153.12,4.96,0.07,0.58,0.12,0.48,0.012,0.065,0.103,16.3,0.049,5.6,0.24,0.21,0.06
XOM,Exxon Mobil,120.51,3.80,0.10,1.08,0.24,0.21,0.025,0.092,0.171,13.8,0.087,2.1,0.22,0.10,0.09
NVDA,NVIDIA Corp,928.40,0.16,0.42,1.72,0.41,0.27,0.089,0.332,0.981,62.5,0.022,42.0,0.69,0.48,0.38
PG,Procter & Gamble,164.92,4.03,0.08,0.42,0.11,0.69,0.015,0.073,0.128,25.2,0.034,7.7,0.32,0.24,0.07
VZ,Verizon,40.25,2.66,0.03,0.36,0.09,1.51,-0.008,0.012,-0.041,9.1,0.089,1.6,0.21,0.14,0.02
GOOGL,Alphabet Inc,161.74,0.00,0.20,1.03,0.20,0.10,0.044,0.183,0.367,24.7,0.041,6.5,0.29,0.27,0.18
KO,Coca-Cola,61.08,1.94,0.06,0.51,0.10,1.35,0.009,0.052,0.081,22.8,0.037,9.9,0.44,0.23,0.05
JPM,JPMorgan Chase,196.11,4.60,0.11,0.84,0.16,1.18,0.029,0.131,0.249,11.7,0.056,1.8,0.18,0.33,0.10
